,timestamp_mdf,GPS_Week,GPS_Seconds,Latitude_deg,Longitude_deg,Height_m,Undulation_m,North_Velocity_m_invert_s,East_Velocity_m_invert_s,Up_Velocity_m_invert_s,Roll_deg,Pitch_deg,Azimuth_deg,INS_Status,Latitude_Sigma,Longitude_Sigma,Height_Sigma,North_Vel_Sigma,East_Vel_Sigma,Up_Vel_Sigma,Roll_Sigma,Pitch_Sigma,Azimuth_Sigma
0,1645015682991090.5,2197,305037.000,50.00327811775,9.23724376035,152.8215,48.3000,0.8910,-2.0092,-0.2739,-5.370384863,1.863501510,23.948233968,INS_SOLUTION_GOOD,1.0913,0.6671,1.1227,0.0064,0.0042,0.0021,0.0101,0.0118,0.0826
1,1645015682999521.8,2197,305038.000,50.00328527128,9.23721804559,152.5656,48.3000,0.7167,-1.6625,-0.2329,-5.258865588,1.299213853,23.167940105,INS_SOLUTION_GOOD,1.0927,0.6680,1.1240,0.0065,0.0043,0.0022,0.0100,0.0116,0.0828
2,1645015683009423.0,2197,305039.000,50.00329074577,9.23719782680,152.3681,48.3000,0.5222,-1.3869,-0.1847,-4.889597608,0.148394154,19.063258181,INS_SOLUTION_GOOD,1.0945,0.6692,1.1258,0.0065,0.0043,0.0023,0.0101,0.0116,0.0829
3,1645015683019376.8,2197,305040.000,50.00329427000,9.23717780129,152.1839,48.3000,0.2425,-1.4922,-0.1629,-4.113282257,-1.868266321,6.706377993,INS_SOLUTION_GOOD,1.0963,0.6703,1.1277,0.0066,0.0046,0.0024,0.0108,0.0118,0.0825
4,1645015683029398.2,2197,305041.000,50.00329430627,9.23715575004,152.0069,48.3000,-0.2167,-1.6226,-0.1513,-2.375016779,-2.792012855,349.978145770,INS_SOLUTION_GOOD,1.0982,0.6723,1.1297,0.0064,0.0044,0.0025,0.0113,0.0123,0.0816
5,1645015683039389.2,2197,305042.000,50.00329022320,9.23713465229,151.8853,48.3000,-0.6672,-1.3134,-0.0882,-0.738780221,-3.368902374,330.176486207,INS_SOLUTION_GOOD,1.1000,0.6731,1.1316,0.0067,0.0045,0.0027,0.0115,0.0128,0.0813
6,1645015683049405.2,2197,305043.000,50.00328325439,9.23711961157,151.8185,48.3000,-0.8550,-0.8321,-0.0433,0.993539464,-3.616543026,311.000117831,INS_SOLUTION_GOOD,1.1028,0.6740,1.1347,0.0076,0.0048,0.0028,0.0121,0.0136,0.0810
7,1645015683059711.5,2197,305044.000,50.00327585621,9.23711092480,151.7978,48.3000,-0.7656,-0.4643,-0.0251,1.862855133,-3.562839244,299.642476406,INS_SOLUTION_GOOD,1.1072,0.6761,1.1393,0.0081,0.0054,0.0029,0.0124,0.0139,0.0807
8,1645015683069374.0,2197,305045.000,50.00326928020,9.23710528675,151.7744,48.3000,-0.6671,-0.3225,0.0008,2.385524331,-3.380542400,295.014640785,INS_SOLUTION_GOOD,1.1119,0.6793,1.1440,0.0079,0.0055,0.0030,0.0124,0.0139,0.0805
9,1645015683080590.5,2197,305046.000,50.00326550548,9.23710266604,151.7834,48.3000,-0.0493,-0.0160,0.0148,2.085410613,-3.548268111,294.550629094,INS_SOLUTION_GOOD,1.1158,0.6811,1.1485,0.0076,0.0052,0.0031,0.0124,0.0140,0.0803
